@relation location
@attribute day numeric
@attribute hour numeric
@attribute lattitude numeric
@attribute longitude numeric
@data
0, 9.001999, -6.192864999997473, 106.79781800000252
0, 9.168999, -6.192797999997474, 106.79775199999747
0, 9.335999, -6.192613000002527, 106.79775800000253
0, 9.502998, -6.192613000002527, 106.79775800000253
0, 9.669998, -6.192482000002526, 106.79778999999748
0, 9.836998, -6.192613000002527, 106.79795799999748
1, 9.001999, -6.192497000002526, 106.79778300000253
1, 9.168999, -6.192696999997474, 106.79778300000253
1, 9.335999, -6.192613000002527, 106.79795799999748
1, 9.502998, -6.192665000002526, 106.79801799999747
1, 9.669998, -6.192613000002527, 106.79775800000253
1, 9.836998, -6.192613000002527, 106.79775800000253
2, 9.001999, -6.192482000002526, 106.79778999999748
2, 9.168999, -6.192696999997474, 106.79778300000253
2, 9.335999, -6.192557000002526, 106.79792799999747
2, 9.502998, -6.192812999997474, 106.79775800000253
2, 9.669998, -6.192812999997474, 106.79775800000253
2, 9.836998, -6.192482000002526, 106.79759000000253
3, 9.001999, -6.192681999997474, 106.79759000000253
3, 9.168999, -6.192864999997473, 106.79801799999747
3, 9.335999, -6.192864999997473, 106.79801799999747
3, 9.502998, -6.192613000002527, 106.79795799999748
3, 9.669998, -6.192665000002526, 106.79801799999747
3, 9.836998, -6.192681999997474, 106.79778999999748
4, 9.001999, -6.192598000002526, 106.79755200000253
4, 9.168999, -6.192598000002526, 106.79775199999747
4, 9.335999, -6.192864999997473, 106.79781800000252
4, 9.502998, -6.192812999997474, 106.79775800000253
4, 9.669998, -6.192497000002526, 106.79798299999747
4, 9.836998, -6.192598000002526, 106.79775199999747
5, 9.001999, -6.192681999997474, 106.79759000000253
5, 9.168999, -6.192797999997474, 106.79775199999747
5, 9.335999, -6.192613000002527, 106.79795799999748
5, 9.502998, -6.192812999997474, 106.79795799999748
5, 9.669998, -6.192681999997474, 106.79778999999748
5, 9.836998, -6.192497000002526, 106.79778300000253
6, 9.001999, -6.192497000002526, 106.79778300000253
6, 9.168999, -6.192598000002526, 106.79775199999747
6, 9.335999, -6.192864999997473, 106.79781800000252
6, 9.502998, -6.192598000002526, 106.79755200000253
6, 9.669998, -6.192756999997473, 106.79772800000252
6, 9.836998, -6.192812999997474, 106.79775800000253
0, 9.001999, -6.192482000002526, 106.79759000000253
0, 9.168999, -6.192756999997473, 106.79792799999747
0, 9.335999, -6.192613000002527, 106.79775800000253
0, 9.502998, -6.192864999997473, 106.79781800000252
0, 9.669998, -6.192864999997473, 106.79801799999747
0, 9.836998, -6.192665000002526, 106.79801799999747
1, 9.001999, -6.192756999997473, 106.79792799999747
1, 9.168999, -6.192557000002526, 106.79772800000252
1, 9.335999, -6.192557000002526, 106.79792799999747
1, 9.502998, -6.192482000002526, 106.79778999999748
1, 9.669998, -6.192665000002526, 106.79781800000252
1, 9.836998, -6.192797999997474, 106.79755200000253
2, 9.001999, -6.192756999997473, 106.79772800000252
2, 9.168999, -6.192756999997473, 106.79772800000252
2, 9.335999, -6.192797999997474, 106.79775199999747
2, 9.502998, -6.192696999997474, 106.79778300000253
2, 9.669998, -6.192598000002526, 106.79755200000253
2, 9.836998, -6.192696999997474, 106.79798299999747
3, 9.001999, -6.192681999997474, 106.79759000000253
3, 9.168999, -6.192482000002526, 106.79759000000253
3, 9.335999, -6.192665000002526, 106.79801799999747
3, 9.502998, -6.192598000002526, 106.79755200000253
3, 9.669998, -6.192797999997474, 106.79775199999747
3, 9.836998, -6.192557000002526, 106.79772800000252
4, 9.001999, -6.192696999997474, 106.79798299999747
4, 9.168999, -6.192613000002527, 106.79795799999748
4, 9.335999, -6.192497000002526, 106.79798299999747
4, 9.502998, -6.192497000002526, 106.79798299999747
4, 9.669998, -6.192497000002526, 106.79778300000253
4, 9.836998, -6.192681999997474, 106.79778999999748
5, 9.001999, -6.192557000002526, 106.79792799999747
5, 9.168999, -6.192613000002527, 106.79795799999748
5, 9.335999, -6.192864999997473, 106.79781800000252
5, 9.502998, -6.192598000002526, 106.79775199999747
5, 9.669998, -6.192482000002526, 106.79759000000253
5, 9.836998, -6.192557000002526, 106.79772800000252
6, 9.001999, -6.192864999997473, 106.79801799999747
6, 9.168999, -6.192613000002527, 106.79795799999748
6, 9.335999, -6.192598000002526, 106.79755200000253
6, 9.502998, -6.192613000002527, 106.79795799999748
6, 9.669998, -6.192797999997474, 106.79755200000253
6, 9.836998, -6.192598000002526, 106.79755200000253
0, 9.001999, -6.192665000002526, 106.79801799999747
0, 9.168999, -6.192557000002526, 106.79792799999747
0, 9.335999, -6.192598000002526, 106.79755200000253
0, 9.502998, -6.192482000002526, 106.79778999999748
0, 9.669998, -6.192696999997474, 106.79798299999747
0, 9.836998, -6.192497000002526, 106.79778300000253
1, 9.001999, -6.192681999997474, 106.79759000000253
1, 9.168999, -6.192812999997474, 106.79795799999748
1, 9.335999, -6.192665000002526, 106.79781800000252
1, 9.502998, -6.192497000002526, 106.79798299999747
1, 9.669998, -6.192613000002527, 106.79795799999748
1, 9.836998, -6.192557000002526, 106.79792799999747
2, 9.001999, -6.192797999997474, 106.79775199999747
2, 9.168999, -6.192598000002526, 106.79755200000253
2, 9.335999, -6.192497000002526, 106.79778300000253
2, 9.502998, -6.192482000002526, 106.79759000000253
2, 9.669998, -6.192756999997473, 106.79772800000252
2, 9.836998, -6.192613000002527, 106.79775800000253
3, 9.001999, -6.192497000002526, 106.79798299999747
3, 9.168999, -6.192681999997474, 106.79759000000253
3, 9.335999, -6.192482000002526, 106.79759000000253
3, 9.502998, -6.192665000002526, 106.79801799999747
3, 9.669998, -6.192665000002526, 106.79781800000252
3, 9.836998, -6.192482000002526, 106.79778999999748
4, 9.001999, -6.192812999997474, 106.79775800000253
4, 9.168999, -6.192696999997474, 106.79778300000253
4, 9.335999, -6.192812999997474, 106.79795799999748
4, 9.502998, -6.192797999997474, 106.79755200000253
4, 9.669998, -6.192756999997473, 106.79772800000252
4, 9.836998, -6.192557000002526, 106.79772800000252
5, 9.001999, -6.192482000002526, 106.79778999999748
5, 9.168999, -6.192665000002526, 106.79781800000252
5, 9.335999, -6.192756999997473, 106.79792799999747
5, 9.502998, -6.192696999997474, 106.79798299999747
5, 9.669998, -6.192756999997473, 106.79772800000252
5, 9.836998, -6.192497000002526, 106.79778300000253
6, 9.001999, -6.192681999997474, 106.79759000000253
6, 9.168999, -6.192756999997473, 106.79792799999747
6, 9.335999, -6.192557000002526, 106.79772800000252
6, 9.502998, -6.192864999997473, 106.79801799999747
6, 9.669998, -6.192497000002526, 106.79798299999747
6, 9.836998, -6.192613000002527, 106.79775800000253
0, 9.001999, -6.192756999997473, 106.79772800000252
0, 9.168999, -6.192598000002526, 106.79755200000253
0, 9.335999, -6.192497000002526, 106.79798299999747
0, 9.502998, -6.192557000002526, 106.79792799999747
0, 9.669998, -6.192756999997473, 106.79792799999747
0, 9.836998, -6.192756999997473, 106.79772800000252
1, 9.001999, -6.192665000002526, 106.79801799999747
1, 9.168999, -6.192613000002527, 106.79775800000253
1, 9.335999, -6.192864999997473, 106.79781800000252
1, 9.502998, -6.192497000002526, 106.79798299999747
1, 9.669998, -6.192696999997474, 106.79778300000253
1, 9.836998, -6.192812999997474, 106.79775800000253
2, 9.001999, -6.192557000002526, 106.79772800000252
2, 9.168999, -6.192598000002526, 106.79755200000253
2, 9.335999, -6.192681999997474, 106.79759000000253
2, 9.502998, -6.192497000002526, 106.79798299999747
2, 9.669998, -6.192864999997473, 106.79801799999747
2, 9.836998, -6.192557000002526, 106.79792799999747
3, 9.001999, -6.192482000002526, 106.79759000000253
3, 9.168999, -6.192696999997474, 106.79778300000253
3, 9.335999, -6.192665000002526, 106.79801799999747
3, 9.502998, -6.192598000002526, 106.79775199999747
3, 9.669998, -6.192598000002526, 106.79755200000253
3, 9.836998, -6.192665000002526, 106.79781800000252
4, 9.001999, -6.192681999997474, 106.79759000000253
4, 9.168999, -6.192681999997474, 106.79778999999748
4, 9.335999, -6.192812999997474, 106.79775800000253
4, 9.502998, -6.192557000002526, 106.79792799999747
4, 9.669998, -6.192613000002527, 106.79775800000253
4, 9.836998, -6.192598000002526, 106.79775199999747
5, 9.001999, -6.192681999997474, 106.79778999999748
5, 9.168999, -6.192482000002526, 106.79778999999748
5, 9.335999, -6.192665000002526, 106.79781800000252
5, 9.502998, -6.192482000002526, 106.79759000000253
5, 9.669998, -6.192696999997474, 106.79798299999747
5, 9.836998, -6.192797999997474, 106.79755200000253
6, 9.001999, -6.192756999997473, 106.79792799999747
6, 9.168999, -6.192598000002526, 106.79775199999747
6, 9.335999, -6.192681999997474, 106.79778999999748
6, 9.502998, -6.192681999997474, 106.79759000000253
6, 9.669998, -6.192681999997474, 106.79759000000253
6, 9.836998, -6.192557000002526, 106.79792799999747
0, 9.001999, -6.192756999997473, 106.79772800000252
0, 9.168999, -6.192482000002526, 106.79778999999748
0, 9.335999, -6.192497000002526, 106.79798299999747
0, 9.502998, -6.192681999997474, 106.79778999999748
0, 9.669998, -6.192696999997474, 106.79798299999747
0, 9.836998, -6.192681999997474, 106.79759000000253
1, 9.001999, -6.192812999997474, 106.79795799999748
1, 9.168999, -6.192864999997473, 106.79801799999747
1, 9.335999, -6.192864999997473, 106.79801799999747
1, 9.502998, -6.192598000002526, 106.79755200000253
1, 9.669998, -6.192812999997474, 106.79775800000253
1, 9.836998, -6.192797999997474, 106.79755200000253
2, 9.001999, -6.178139999997474, 106.79225299999747
2, 9.168999, -6.177990999997474, 106.78962800000252
2, 9.335999, -6.178015000002526, 106.79110800000252
2, 9.502998, -6.177791000002526, 106.78962800000252
2, 9.669998, -6.177606999997474, 106.79306799999748
2, 9.836998, -6.178214999997474, 106.79110800000252
